Time (s),W,X,Y,Z
0.000000000,-0.849036,-0.0006179888,-0.001301089,-0.5251319
0.019731522,-0.8490252,-0.0006363256,-0.001308759,-0.5251493
0.039463520,-0.8489682,-0.0006528136,-0.001322999,-0.5252414
0.059194565,-0.8488989,-0.000636828,-0.00133073,-0.5253534
0.078926563,-0.8488447,-0.0006466323,-0.001333115,-0.5254409
0.098658562,-0.8488725,-0.0006692752,-0.00134951,-0.5253959
0.118390083,-0.8489094,-0.0006916837,-0.001360519,-0.5253363
0.140587807,-0.8489205,-0.0006886631,-0.001371088,-0.5253183
0.160319805,-0.8489252,-0.0006971302,-0.001378778,-0.5253106
0.180050850,-0.8489272,-0.0006907601,-0.001373426,-0.5253075
0.199782848,-0.8489215,-0.0006771025,-0.00137152,-0.5253166
0.219514370,-0.8489265,-0.0006788542,-0.001374069,-0.5253085
0.239246368,-0.8489419,-0.0006610448,-0.001374064,-0.5252837
0.258977413,-0.848968,-0.0006705081,-0.001367473,-0.5252416
0.278709412,-0.8489868,-0.0006675795,-0.001363484,-0.5252113
0.298441410,-0.8489891,-0.000677458,-0.001358975,-0.5252076
0.318172455,-0.8489842,-0.0006626541,-0.001366469,-0.5252154
0.340370655,-0.8490216,-0.0006556126,-0.001349014,-0.5251551
0.360102654,-0.8490643,-0.0006472883,-0.001329597,-0.5250859
0.379833698,-0.8491059,-0.0006561421,-0.001330659,-0.5250189
0.399565697,-0.8491259,-0.0006410917,-0.001332152,-0.5249864
0.419297695,-0.8491408,-0.0006313471,-0.001333975,-0.5249622
0.439028740,-0.8492298,-0.0006320485,-0.001342569,-0.5248182
0.458760262,-0.8493236,-0.0006312226,-0.001336611,-0.5246666
0.478492260,-0.8493664,-0.0006252915,-0.001329701,-0.5245972
0.498224259,-0.8492955,-0.0006124792,-0.0013353,-0.5247122
0.520421982,-0.8492119,-0.0006185337,-0.00132831,-0.5248474
0.540153504,-0.8491842,-0.0006217523,-0.001342267,-0.5248923
0.559885025,-0.8491513,-0.0006230953,-0.001331195,-0.5249453
0.579616547,-0.849117,-0.0006038083,-0.001321841,-0.525001
0.599348545,-0.8491087,-0.0006153243,-0.001346,-0.5250143
0.619080544,-0.8490798,-0.0005975876,-0.001345514,-0.525061
0.638811588,-0.8490365,-0.0005985845,-0.001345407,-0.5251309
0.658543110,-0.8489925,-0.0005984231,-0.001339196,-0.5252021
0.678275108,-0.8489832,-0.0006168258,-0.001321531,-0.5252172
0.700472832,-0.8489754,-0.0006134768,-0.001324025,-0.5252299
0.720204830,-0.8489708,-0.0005956488,-0.00132821,-0.5252373
0.739936829,-0.8490003,-0.0005926928,-0.001328114,-0.5251896
0.759667874,-0.8490237,-0.0005802449,-0.001333765,-0.5251518
0.779399395,-0.8490013,-0.0005796116,-0.001338317,-0.5251877
0.799131394,-0.8489581,-0.0006055454,-0.001358196,-0.5252576
0.818862438,-0.8489216,-0.0006152613,-0.001357061,-0.5253168
0.838594437,-0.8489298,-0.0006196521,-0.001362769,-0.5253035
0.858326435,-0.8489342,-0.0006187435,-0.001369843,-0.5252962
0.880524159,-0.8489719,-0.0006394203,-0.001378727,-0.5252352
0.900255680,-0.849006,-0.0006618886,-0.001383026,-0.5251802
0.919987679,-0.8490112,-0.00066405,-0.001379229,-0.5251718
0.939718724,-0.8489296,-0.0006529876,-0.001380064,-0.5253037
0.959450722,-0.8488488,-0.0006235311,-0.001376857,-0.5254343
0.979182720,-0.8488755,-0.0006162133,-0.001374986,-0.5253912
0.998914242,-0.8489234,-0.0006419315,-0.001369571,-0.5253138
1.018645287,-0.8489569,-0.0006467177,-0.001378662,-0.5252596
1.038377285,-0.8489623,-0.0006330319,-0.001391269,-0.5252507
1.060575008,-0.8489695,-0.0006426504,-0.001422272,-0.5252392
1.080307007,-0.8490949,-0.0006379368,-0.001435756,-0.5250363
1.100038528,-0.8492379,-0.0006275367,-0.001434524,-0.524805
1.119770527,-0.8493318,-0.0006130583,-0.001419359,-0.524653
1.139501572,-0.8493556,-0.0006222015,-0.001415072,-0.5246144
1.159233570,-0.8493826,-0.0006270539,-0.001419497,-0.5245707
1.178965569,-0.8494283,-0.0006247199,-0.001417896,-0.5244966
1.198696613,-0.8494701,-0.0006195996,-0.001433137,-0.5244293
1.218428135,-0.8495052,-0.0006225283,-0.001437186,-0.5243722
1.238160133,-0.8495322,-0.0006348336,-0.001420817,-0.5243285
1.260357857,-0.8495612,-0.0006468394,-0.001421388,-0.5242815
1.280089855,-0.8495604,-0.0006527869,-0.001414247,-0.5242827
1.299821854,-0.8495623,-0.0006633435,-0.001410042,-0.5242797
1.319552898,-0.8495621,-0.0006529928,-0.001408842,-0.5242801
1.339284420,-0.8495878,-0.0006381086,-0.00141468,-0.5242383
1.359016419,-0.8496065,-0.0006423953,-0.001411191,-0.5242079
1.378748417,-0.8496717,-0.0006471234,-0.001403497,-0.5241026
1.398479462,-0.849736,-0.0006339729,-0.001409391,-0.523998
1.418211460,-0.849796,-0.0006384423,-0.001402615,-0.5239009
1.440409184,-0.8498408,-0.0006321442,-0.001393585,-0.5238281
1.460140705,-0.8498759,-0.0006256525,-0.001398839,-0.5237713
1.479872704,-0.8497735,-0.0006248708,-0.001396663,-0.5239374
1.499604702,-0.8496642,-0.0006219941,-0.001384443,-0.5241148
1.519335747,-0.8496382,-0.0006405105,-0.001403894,-0.5241569
1.539067268,-0.8496338,-0.0006592188,-0.001402046,-0.5241639
1.558799267,-0.8496294,-0.0006599438,-0.001399566,-0.5241711
1.578531265,-0.8496222,-0.0006533153,-0.001392086,-0.5241826
1.598262310,-0.8496262,-0.0006651838,-0.001404224,-0.524176
1.620460987,-0.8496085,-0.0006695985,-0.001413036,-0.5242046
1.640192032,-0.8495737,-0.0006639532,-0.001411991,-0.5242611
1.659923554,-0.8495418,-0.0006517135,-0.001403135,-0.5243131
1.679655552,-0.8495321,-0.0006480694,-0.001391238,-0.5243288
1.699387551,-0.8495228,-0.0006508804,-0.00137823,-0.5243438
1.719118595,-0.8495322,-0.0006365903,-0.001362176,-0.5243284
1.738850594,-0.8495308,-0.000614892,-0.001343242,-0.5243309
1.758582115,-0.8495309,-0.0006173681,-0.001343657,-0.5243309
1.778313160,-0.8494776,-0.0006250321,-0.001347055,-0.5244173
1.800511837,-0.8494238,-0.0006428289,-0.001356619,-0.5245042
1.820243836,-0.8495237,-0.0006553474,-0.001364592,-0.5243425
1.839974880,-0.8496404,-0.0006527643,-0.001367279,-0.5241532
1.859706402,-0.8496932,-0.0006541967,-0.001373954,-0.5240676
1.879438400,-0.8496422,-0.0006575098,-0.001381878,-0.5241503
1.899169445,-0.8495934,-0.0006351905,-0.001377834,-0.5242294
1.918901444,-0.8495649,-0.0006342547,-0.001372678,-0.5242755
1.938633442,-0.8495327,-0.0006307083,-0.001373632,-0.5243277
1.958364964,-0.8495105,-0.0006248589,-0.001368252,-0.5243639
1.980562687,-0.8495033,-0.0006245807,-0.00136516,-0.5243754
2.000294685,-0.8494921,-0.0006101819,-0.001375266,-0.5243936
2.020026684,-0.8494658,-0.0006027914,-0.001385194,-0.5244361
2.039757729,-0.8494343,-0.0006007115,-0.001399825,-0.5244873
2.059489727,-0.8494185,-0.0005937258,-0.001396674,-0.5245129
2.079221249,-0.8494425,-0.000591352,-0.001393442,-0.5244738
2.098952293,-0.8494694,-0.0006014796,-0.001406376,-0.5244303
2.118684292,-0.8495553,-0.0006063578,-0.001414711,-0.5242912
2.138416290,-0.8496463,-0.0006110091,-0.001406213,-0.5241437
2.158147812,-0.8497144,-0.0006099199,-0.001407561,-0.5240332
2.180345535,-0.8497274,-0.0005917596,-0.00140523,-0.5240121
2.200077534,-0.8497496,-0.0006081701,-0.001408059,-0.5239761
2.219808579,-0.8497808,-0.0006127266,-0.001397138,-0.5239257
2.239540577,-0.8498198,-0.0006124403,-0.001383621,-0.5238622
2.259272575,-0.849844,-0.000610506,-0.001371059,-0.523823
2.279004097,-0.8498551,-0.0006001109,-0.001362677,-0.5238053
2.298735619,-0.8498717,-0.0006009913,-0.001369915,-0.5237782
2.318467140,-0.8499323,-0.0006057298,-0.001384641,-0.5236798
2.338199139,-0.8499876,-0.0006070313,-0.001376066,-0.52359
2.360396862,-0.850073,-0.0006218831,-0.001390185,-0.5234511
2.380128861,-0.850133,-0.0006170769,-0.001388087,-0.5233539
2.399860382,-0.8501851,-0.0006303371,-0.001397954,-0.5232691
2.419591427,-0.8501207,-0.0006097952,-0.001386536,-0.523374
2.439323425,-0.8500684,-0.0006199883,-0.001389712,-0.5234588
2.459055424,-0.8500397,-0.0006177951,-0.001397288,-0.5235054
2.478786945,-0.8500178,-0.000603409,-0.001393535,-0.5235409
2.498518467,-0.8500076,-0.0006042136,-0.001400611,-0.5235575
2.518249989,-0.8500206,-0.0005932443,-0.001387852,-0.5235366
2.540448666,-0.8500285,-0.0005785499,-0.001389546,-0.5235238
2.560179711,-0.8500574,-0.0005651579,-0.001376726,-0.523477
2.579911709,-0.8500921,-0.0005736515,-0.001371644,-0.5234204
2.599643231,-0.8501186,-0.0005790133,-0.001362929,-0.5233774
2.619374752,-0.8500867,-0.0005833136,-0.001375441,-0.523429
2.639106274,-0.8500599,-0.0005998545,-0.001385965,-0.5234726
2.658838272,-0.850067,-0.0005970494,-0.001388627,-0.5234612
2.678569794,-0.8500853,-0.0005946387,-0.001389411,-0.5234315
2.698301315,-0.8501114,-0.0006169592,-0.001390093,-0.5233891
2.720499516,-0.8501201,-0.000605547,-0.001386026,-0.5233749
2.740230560,-0.8501351,-0.000603213,-0.001391567,-0.5233505
2.759962559,-0.8501128,-0.0006086587,-0.001401283,-0.5233866
2.779694557,-0.850078,-0.0005960643,-0.001402221,-0.5234432
2.799426079,-0.8500302,-0.0006027428,-0.001391141,-0.5235209
2.819157601,-0.8499752,-0.0006010151,-0.001388475,-0.5236101
2.838889122,-0.8499218,-0.0006226263,-0.00139063,-0.5236968
2.858621121,-0.8498637,-0.0006136744,-0.00139621,-0.5237911
2.878353119,-0.8498125,-0.0005862971,-0.001398421,-0.5238741
2.900550842,-0.849784,-0.0005822218,-0.001421542,-0.5239203
2.920282364,-0.8497842,-0.0005757183,-0.001446564,-0.5239201
2.940013886,-0.8497741,-0.0005540693,-0.00145878,-0.5239365
2.959745407,-0.8496407,-0.0005334733,-0.00147829,-0.5241525
2.979477406,-0.8495025,-0.0005090603,-0.001498783,-0.5243765
2.999208927,-0.8494325,-0.0004818029,-0.001506326,-0.52449
3.018940449,-0.8494347,-0.0004726585,-0.001521848,-0.5244864
3.038671970,-0.8494368,-0.000463196,-0.00153227,-0.524483
3.058403969,-0.849454,-0.0004447289,-0.001518431,-0.5244551
3.078135967,-0.8494729,-0.0004278574,-0.001517191,-0.5244246
3.100333691,-0.8494371,-0.0004046829,-0.001524591,-0.5244824
3.120065212,-0.8493545,-0.0003900349,-0.001532296,-0.5246162
3.139796734,-0.8492742,-0.0003809417,-0.00152932,-0.524746
3.159528255,-0.8492396,-0.0003689184,-0.001529676,-0.5248021
3.179260254,-0.8491996,-0.0003416622,-0.001539202,-0.5248668
3.198992252,-0.849185,-0.0003233005,-0.001532983,-0.5248905
3.218723297,-0.8491812,-0.0003174897,-0.001547466,-0.5248965
3.238454819,-0.849186,-0.0003135174,-0.001558419,-0.5248889
3.258186817,-0.8492025,-0.000305642,-0.001564877,-0.5248622
3.280384541,-0.8492309,-0.0003086025,-0.001573988,-0.5248162
3.300116539,-0.8492287,-0.0003177733,-0.001579277,-0.5248196
3.319848061,-0.8492129,-0.0003094488,-0.001554013,-0.5248455
3.339579582,-0.8492228,-0.0003026783,-0.001550138,-0.5248293
3.359311104,-0.8492643,-0.0003082496,-0.001548896,-0.5247622
3.379043102,-0.8493125,-0.0003133054,-0.001526935,-0.5246841
3.398775101,-0.849277,-0.0003122478,-0.001515401,-0.5247418
3.418506146,-0.8492162,-0.0003014608,-0.001507232,-0.52484
3.438237667,-0.8491626,-0.0003044796,-0.00149925,-0.5249268
3.460436344,-0.8490972,-0.0002944455,-0.001491999,-0.5250327
3.480167389,-0.8490574,-0.0003082317,-0.001502222,-0.525097
3.499899387,-0.8490354,-0.0003130768,-0.001509279,-0.5251325
3.519631386,-0.849014,-0.0003247843,-0.001512587,-0.5251672
3.539362431,-0.849011,-0.0003425708,-0.001513602,-0.5251722
3.559093952,-0.8490065,-0.0003369451,-0.001511742,-0.5251792
3.578825951,-0.8490052,-0.000335985,-0.001512752,-0.5251813
3.598557949,-0.8489336,-0.0003188326,-0.001514081,-0.5252972
3.618288994,-0.8488678,-0.0003163582,-0.00152618,-0.5254033
3.640487194,-0.8488153,-0.0003314923,-0.00153927,-0.525488
3.660218716,-0.8487971,-0.0003373295,-0.001534898,-0.5255175
3.679950237,-0.8487825,-0.0003454631,-0.001544056,-0.5255412
3.699682236,-0.8488175,-0.0003615245,-0.001557879,-0.5254847
3.719414234,-0.8488336,-0.0003545462,-0.001552874,-0.5254585
3.739145279,-0.8488446,-0.0003553701,-0.001541989,-0.5254408
3.758876801,-0.848851,-0.0003601439,-0.001534821,-0.5254305
3.778608799,-0.8488373,-0.0003487063,-0.001518413,-0.5254526
3.798340798,-0.8489293,-0.0003442197,-0.001513923,-0.525304
3.820538521,-0.8490404,-0.0003417316,-0.00152544,-0.5251245
3.840270519,-0.8490726,-0.0003345945,-0.00151861,-0.5250723
3.860002041,-0.8490766,-0.0003183954,-0.001524121,-0.525066
3.879733086,-0.8490834,-0.000314265,-0.001522911,-0.5250549
3.899465084,-0.8491248,-0.0003042751,-0.001527916,-0.5249879
3.919197083,-0.8491645,-0.0003061323,-0.001521038,-0.5249237
3.938928128,-0.8491853,-0.0003137158,-0.001506279,-0.5248901
3.958660126,-0.849201,-0.0003206768,-0.001499765,-0.5248648
3.978391647,-0.8492372,-0.0003323626,-0.001483564,-0.5248062
4.000589371,-0.8493294,-0.0003311809,-0.001461898,-0.524657
4.020321369,-0.8494281,-0.0003469263,-0.001483202,-0.5244973
4.040053368,-0.8495253,-0.0003597481,-0.001496426,-0.5243396
4.059784889,-0.8496201,-0.0003737797,-0.001511413,-0.5241862
4.079515934,-0.8496954,-0.0003858746,-0.001506378,-0.5240639
4.099247932,-0.849721,-0.0004039219,-0.001506811,-0.5240223
4.118979931,-0.8497341,-0.0004132686,-0.001491617,-0.5240013
4.138710976,-0.8496682,-0.0004059571,-0.001487152,-0.5241079
4.158442974,-0.8495799,-0.0004141404,-0.001481627,-0.5242512
4.178174496,-0.8495225,-0.0004182418,-0.001473539,-0.5243441
4.200372219,-0.8495238,-0.0004000396,-0.001454706,-0.524342
4.220104218,-0.8495347,-0.0004006524,-0.00143844,-0.5243247
4.239836216,-0.8495063,-0.0003909392,-0.001422934,-0.5243707
4.259567738,-0.8494799,-0.00039193,-0.001423981,-0.5244135
4.279299259,-0.849449,-0.0003815889,-0.00141286,-0.5244635
4.299030781,-0.8494144,-0.0003761023,-0.001394114,-0.5245197
4.318762779,-0.8493943,-0.0003927604,-0.001402582,-0.5245521
4.338493824,-0.8494146,-0.0004095452,-0.001407232,-0.5245192
4.358225823,-0.8494379,-0.0004030262,-0.00140421,-0.5244817
4.380424023,-0.8494415,-0.0004205848,-0.001409575,-0.5244756
4.400155544,-0.8494224,-0.0004339977,-0.001411221,-0.5245065
4.419887066,-0.8493935,-0.0004304668,-0.001405141,-0.5245535
4.439619064,-0.8493647,-0.0004373898,-0.001398807,-0.5246
4.459350586,-0.849319,-0.0004216815,-0.001380753,-0.524674
4.479082108,-0.849295,-0.0004162513,-0.001371967,-0.5247129
4.498813629,-0.849259,-0.0004145747,-0.001362609,-0.5247714
4.518545628,-0.8492328,-0.0004055408,-0.00135951,-0.5248135
4.538278103,-0.8492591,-0.0004281715,-0.001356008,-0.5247711
4.560475350,-0.8492804,-0.0004243353,-0.00135709,-0.5247368
4.580206871,-0.8492916,-0.0004299986,-0.001372869,-0.5247182
4.599938393,-0.8492958,-0.0004472943,-0.001389851,-0.5247117
4.619669914,-0.8493,-0.0004549048,-0.001400023,-0.5247048
4.639401913,-0.8494256,-0.0004814945,-0.001425238,-0.5245014
4.659133434,-0.8495492,-0.0004966814,-0.001426203,-0.524301
4.678864956,-0.8496384,-0.0004989872,-0.001419024,-0.5241564
4.698596478,-0.8496965,-0.0004901388,-0.001408365,-0.5240623
4.718328476,-0.8497652,-0.0004832925,-0.001406921,-0.5239508
4.740526200,-0.8497721,-0.0004592103,-0.001375975,-0.5239398
4.760258198,-0.8497931,-0.0004705701,-0.001367336,-0.5239058
4.779989720,-0.8497821,-0.0004624427,-0.001365158,-0.5239236
4.799721241,-0.8497691,-0.0004556211,-0.001369653,-0.5239447
4.819452763,-0.8497611,-0.0004443,-0.00137575,-0.5239578
4.839184761,-0.8497935,-0.0004332179,-0.001363636,-0.5239053
4.858916760,-0.849825,-0.0004269342,-0.001364931,-0.5238543
4.878647804,-0.8498481,-0.0004243378,-0.001378801,-0.5238167
4.898381710,-0.8498693,-0.0004275483,-0.001383724,-0.5237823
4.920578003,-0.8498678,-0.0004296653,-0.001396016,-0.5237846
4.940309048,-0.8498408,-0.0004422261,-0.001392657,-0.5238286
4.960041046,-0.8498003,-0.0004338517,-0.001387346,-0.5238942
4.979773045,-0.8497927,-0.0004405641,-0.001381564,-0.5239065
4.999504566,-0.8497731,-0.000431579,-0.001374018,-0.5239382
5.019235611,-0.8497716,-0.0004547241,-0.001361414,-0.5239407
5.038967609,-0.8497567,-0.0004640247,-0.001376364,-0.5239648
5.058699608,-0.8497191,-0.0004702634,-0.001379379,-0.5240258
5.078430653,-0.8496857,-0.000464791,-0.001375649,-0.5240801
5.098162651,-0.8496563,-0.0004742621,-0.00137194,-0.5241275
5.120360851,-0.8496096,-0.0004600348,-0.001364009,-0.5242035
5.140091896,-0.8495936,-0.0004476301,-0.00135022,-0.5242295
5.159823895,-0.8495797,-0.0004572363,-0.001338052,-0.5242519
5.179555893,-0.8496308,-0.0004589593,-0.001354391,-0.5241688
5.199287415,-0.8496878,-0.0004498941,-0.001363789,-0.5240766
5.219018459,-0.8497505,-0.0004279652,-0.001367514,-0.523975
5.238750458,-0.8498307,-0.0004253773,-0.00139391,-0.5238446
5.258482456,-0.8499109,-0.0004210089,-0.001394976,-0.5237145
5.278213501,-0.84992,-0.0004146823,-0.001410821,-0.5236999
5.300412178,-0.8499126,-0.000417507,-0.001420494,-0.5237117
5.320143700,-0.8498848,-0.0004075261,-0.001399879,-0.5237569
5.339874744,-0.8498473,-0.0004060674,-0.001387623,-0.5238179
5.359606743,-0.8498124,-0.000415013,-0.001373724,-0.5238745
5.379338741,-0.8497474,-0.0004240547,-0.001367243,-0.52398
5.399070263,-0.8496698,-0.0004208974,-0.00137246,-0.5241057
5.418801785,-0.8496172,-0.0004390219,-0.001384472,-0.5241908
5.438533306,-0.8495887,-0.0004408968,-0.001389482,-0.5242373
5.458265305,-0.8495647,-0.0004502832,-0.001382879,-0.524276
5.480463028,-0.8494913,-0.0004623404,-0.001400341,-0.5243949
5.500195027,-0.8506094,-0.001489445,-0.001998569,-0.5225756
5.519926548,-0.8573226,-0.002495175,-0.002554217,-0.5114812
5.539657593,-0.8601674,-0.001128042,-0.002333531,-0.5066885
5.559389591,-0.8597295,-0.001291979,-0.003178831,-0.5074259
5.579121590,-0.8585538,-0.00153875,-0.003731218,-0.5094084
5.598853111,-0.8568226,-0.001511607,-0.003654564,-0.5123156
5.618584633,-0.856075,1.652868E-05,-0.002388721,-0.5135735
5.638316155,-0.8563844,0.000699108,-0.002404096,-0.5130566
5.660514832,-0.8599608,0.0007627779,-0.004323313,-0.5070264
5.680245876,-0.865247,0.001955945,-0.007682971,-0.4979082
5.699977875,-0.8684711,0.004934589,-0.01077673,-0.4921841
5.719709397,-0.8701333,0.01337616,-0.015169,-0.488965
5.739441395,-0.870887,0.02254352,-0.01958201,-0.4871261
5.759172440,-0.871129,0.02687673,-0.02276588,-0.4863346
5.778904438,-0.8713105,0.03052411,-0.02592107,-0.4856359
5.798635960,-0.8719236,0.03423981,-0.0266185,-0.484248
5.818367481,-0.8728875,0.03826355,-0.02488783,-0.4822982
5.840565682,-0.8740604,0.04169051,-0.02072167,-0.4800818
5.860297680,-0.8747977,0.0430805,-0.01710501,-0.4787569
5.880028725,-0.8756207,0.04383955,-0.01292259,-0.4773126
5.899760723,-0.8761157,0.04349896,-0.009746576,-0.47651
5.919492245,-0.876709,0.04217493,-0.00729625,-0.4755807
5.939224243,-0.8776007,0.0408914,-0.005227627,-0.4740733
5.958955288,-0.8789309,0.03829823,-0.002039746,-0.4718444
5.978687286,-0.8802487,0.03438035,0.0009461925,-0.4696882
5.998419285,-0.8812545,0.02958406,0.00372246,-0.4681123
6.018150806,-0.8823125,0.02536129,0.006186157,-0.4663376
6.040348530,-0.8836727,0.02175316,0.00981305,-0.4638759
6.060080528,-0.8845532,0.01824947,0.01262594,-0.4622778
6.079811573,-0.8851474,0.01427393,0.01501517,-0.4612077
6.099543571,-0.8853613,0.009293091,0.01635241,-0.4608787
6.119275093,-0.8858715,0.004756783,0.0182972,-0.4598934
6.139007092,-0.8865555,0.0008755912,0.0212916,-0.458468
6.158738136,-0.8878578,-0.003879295,0.02419132,-0.4557807
6.178470135,-0.8897334,-0.00840197,0.02830599,-0.451808
6.198202133,-0.8914835,-0.01275306,0.03241678,-0.4479635
6.220399857,-0.8929531,-0.01695671,0.03558494,-0.4446443
6.240131378,-0.8940607,-0.01937175,0.03783177,-0.4421273
6.259863377,-0.8953666,-0.02188963,0.03993928,-0.4391721
6.279595375,-0.8968373,-0.02437422,0.04259187,-0.4357779
6.299326420,-0.8979337,-0.02601756,0.04562205,-0.4331101
6.319058418,-0.8986347,-0.02652321,0.048026,-0.4313624
6.338789940,-0.8990362,-0.02566717,0.04984047,-0.4303703
6.358520985,-0.8994259,-0.02463454,0.05016552,-0.4295779
6.378252983,-0.9002141,-0.02450965,0.04912186,-0.428052
6.400451660,-0.9013633,-0.02477217,0.04707491,-0.4258429
6.420182705,-0.9020699,-0.02382147,0.04477694,-0.424647
6.439914227,-0.9025159,-0.02133567,0.04153966,-0.4241602
6.459646225,-0.9029385,-0.01829427,0.03781094,-0.4237515
6.479378224,-0.9034732,-0.01594175,0.03403124,-0.4230266
6.499109268,-0.9039322,-0.01426833,0.0308322,-0.4223508
6.518841267,-0.9038993,-0.01301747,0.02826649,-0.4226407
6.538572788,-0.9035463,-0.0119667,0.02579786,-0.4235834
6.558304787,-0.903278,-0.0106735,0.02355487,-0.4243205
6.580502510,-0.9031345,-0.009754785,0.02087861,-0.4247881
6.600234509,-0.9033371,-0.009533832,0.01933921,-0.424435
6.619966030,-0.9033617,-0.009790349,0.01790423,-0.4244395
6.639697552,-0.9031431,-0.01065701,0.01546581,-0.4249793
6.659429073,-0.9031606,-0.01144267,0.01302102,-0.4250037
6.679161072,-0.9032796,-0.01205097,0.01040765,-0.4248059
6.698892117,-0.9034518,-0.01197819,0.008198531,-0.42449
6.718624115,-0.9035973,-0.01159919,0.006108935,-0.4242263
6.738355637,-0.9037537,-0.0112876,0.004102111,-0.4239252
6.760553360,-0.9037592,-0.01117562,0.001938308,-0.4239322
6.780285359,-0.9037768,-0.01125479,0.000291005,-0.4238968
